WORD,LANGUAGE_ID,SENTIMENT
"بِشَكْل مؤكَّد","ar","2"
"ٌَقليل الأدَب","ar","-2"
"غَريب الأطْوار","ar","-1"
"قَليل الأدَب","ar","-3"
"اُحْتيل عليه","ar","-2"
"ابن المِتْناكة","ar","-3"
"اجْتِماعي مَع صُحابه بَس","ar","1"
"اخْتِناق مُروري","ar","-2"
"الأسْرَع بَديهة","ar","2"
"الأقَلّ سَهولة","ar","-2"
"الأكْتَر إماتة","ar","-3"
"الأكْتَر بَهْدَلة","ar","-2"
"الأكْتَر تَرَفاً","ar","2"
"الأكْتَر تَناسُق","ar","2"
"الأكْتَر دَمَوِيَّة","ar","-3"
"الأكْتَر طَزاجة","ar","3"
"الأكْتر فَوْضى","ar","-3"
"الأكْثَر ابْتِذالاً","ar","-2"
"الأكْثَر إتْقاناً","ar","2"
"الأكْثَر إثارة","ar","3"
"الأكْثَر أمناً","ar","3"
"الأكْثَر بَذاءة","ar","-3"
"الأكْثَر تَأكُّدا","ar","2"
"الأكْثَر تَرَفاً","ar","2"
"الأكْثَر تَنْظيماً","ar","2"
"الأكْثَر تَناسُقاً","ar","2"
"الأكْثَر ثَباتاً","ar","2"
"الأكْثَر حَظّاً","ar","3"
"الأكْثَر حُزْناً","ar","-3"
"الأكْثَر خِبْرة بالحَياة","ar","2"
"الأكْثَر رَثاثة","ar","-2"
"الأكْثَر راحة","ar","2"
"الأكْثَر صَخَباً","ar","-2"
"الأكْثَر عَصْفاً","ar","-2"
"الأكْثَر غُموضاُ","ar","-3"
"الأكْثَر فَوْضى","ar","-2"
"الأكْثَر قِدَماً وجاذِبِيّة","ar","2"
"الأكْثَر كَآبة","ar","-2"
"الأكْثَر مَلَلاً","ar","-2"
"الأكْثَر نُحولاً","ar","-2"
"الأكثر نُبْلاً","ar","3"
"الأهَمِّية الشَّديدة","ar","2"
"الحَظّ السَّعيد","ar","2"
"الضَلْمة أكْتَر","ar","-2"
"انْعِدام الرَّحْمة","ar","-3"
"انْعِدام الضَّمير","ar","-2"
"انْعِدام القيمة","ar","-2"
"انْهِيار مُفاجئ","ar","-2"
"إبْن حَرام","ar","-3"
"إبن كَلْب","ar","-3"
"إبن ناس","ar","2"
"إتْنَصَب عَليه","ar","-2"
"إزالة لَوْن","ar","-1"
"إعْتِماد كامِل","ar","-1"
"إعادة ثَمَن سِلْعة ما","ar","-1"
"إللي مْغّيِّم أكْتَر","ar","-2"
"إمرأة شاذة","ar","-3"
"أقْدَم وألْطَف","ar","2"
"أكْتَر حاجة مْدَهْنِنة","ar","-2"
"أكْتَر دَوْشة","ar","-2"
"أكْتَر واحِد تِخين وقُصَيَّر","ar","-2"
"أكْتَر واحِد زَعْلان","ar","-3"
"أكْتَر واحِد طَمّاع","ar","-3"
"أكْتَر واحِد مُتَواضِع","ar","2"
"أكْتَر واحِد مِكَشَّر","ar","-3"
"أكْتَر واحِد وَدود","ar","2"
"أكْتَر واحِد يِقْدَر","ar","2"
"أكْتر أمان","ar","3"
"أمْر صادِم","ar","-2"
"أهَم جُزْء","ar","1"
"أيْ كَلام","ar","-3"
"بَرامِج مِش مُفيدة","ar","-2"
"بَغَضَبٍ شَديد","ar","-2"
"بَغَضَبٍ شِديد","ar","-2"
"بِخَيْبة أمَل","ar","-2"
"بِرْنامَج بَطئ","ar","-1"
"بِرْنامِج حاسوب يَحْتَوي على بَرامِج ضارة","ar","-1"
"بِرْنامِج كومبيوتر فيه بَرامِج ضارة","ar","-1"
"بِسِعْرٍ رَخيص","ar","2"
"بِسِعْرٍ مُناسِب","ar","1"
"بِسوء نِيَّة","ar","-2"
"بِشًكْلٍ مُخيف","ar","-3"
"بِشَكِلٍ مُخادِع","ar","2"
"بِشَكِل مُخادِع","ar","2"
"بِشَكْلِ غَريب ومُضْحِك","ar","-1"
"بِشَكْلِ غَيْر كافٍ","ar","-2"
"بِشَكْلِ مُريح","ar","2"
"بِشَكْلِ مِش كِفاية","ar","-2"
"بِشَكْلِ مؤلِم","ar","-2"
"بِشَكْل اجْتِماعي","ar","1"
"بِشَكْل اسْتِتْنايي","ar","3"
"بِشَكْل إيجابي","ar","2"
"بِشَكْل بَشِع","ar","-3"
"بِشَكْل بَنّاء","ar","2"
"بِشَكْل بارِز","ar","2"
"بِشَكْل باقٍ","ar","2"
"بِشَكْل تَخْريبي","ar","-2"
"بِشَكْل تَدْميري","ar","-2"
"بِشَكْل تَقْليدي","ar","1"
"بِشَكْل تَنافُسي","ar","2"
"بِشَكْل تَهْديدي","ar","-2"
"بِشَكْل تابِت","ar","2"
"بِشَكْل تافِه","ar","-2"
"بِشَكْل جَدير بالشَّفَقة","ar","-2"
"بِشَكْل جَذْري","ar","-1"
"بِشَكْل جَقير","ar","-2"
"بِشَكْل جَميل","ar","2"
"بِشَكْل جِلْف","ar","-1"
"بِشَكْل جاذِب للانْتِباه","ar","2"
"بِشَكْل جارِح","ar","-2"
"بِشَكْل جامِد","ar","-1"
"بِشَكْل حَقير","ar","-1"
"بِشَكْل حالِم","ar","1"
"بِشَكْل خَطِر","ar","-2"
"بِشَكْل خَطير","ar","-2"
"بِشَكْل خاطئ","ar","-2"
"بِشَكْل خانِق","ar","-2"
"بِشَكْل دِفاعي","ar","-1"
"بِشَكْل ديكتاتوري","ar","-2"
"بِشَكْل رائع","ar","2"
"بِشَكْل سَطْحي","ar","-1"
"بِشَكْل سَهْلٍ تَذَكُره","ar","2"
"بِشَكْل سَهْلٍ تِفْتِكْره","ar","2"
"بِشَكْل سَيِّئ","ar","-2"
"بِشَكْل سِلْمي","ar","1"
"بِشَكْل سامّ","ar","-2"
"بِشَكْل شَيْطاني","ar","-2"
"بِشَكْل شِرّير","ar","-2"
"بِشَكْل شامِل","ar","2"
"بِشَكْل صَريح","ar","1"
"بِشَكْل صِحّي","ar","2"
"بِشَكْل عَشْوائي","ar","-1"
"بِشَكْل عَقْلاني","ar","2"
"بِشَكْل عُدْواني","ar","-2"
"بِشَكْل غَني","ar","2"
"بِشَكْل غَيْر ضَروري","ar","-1"
"بِشَكْل غَيْر طَبيعي","ar","-2"
"بِشَكْل غَيْر عَقْلاني","ar","-2"
"بِشَكْل غَيْر عادِل","ar","-2"
"بِشَكْل غَيْر لائق","ar","-2"
"بِشَكْل غَيْر مَرْغوب فيه","ar","-2"
"بِشَكْل غَيْر مَقْبول","ar","-2"
"بِشَكْل غَيْر مُبْدِع","ar","-2"
"بِشَكْل غَيْر مُسْتَوٍ","ar","-2"
"بِشَكْل غَيْر مُكَلِّف","ar","1"
"بِشَكْل غَيْر مُنَظَّم","ar","-1"
"بِشَكْل غالي","ar","-2"
"بِشَكْل فَخِم","ar","2"
"بِشَكْل فيه مُبادْرة","ar","1"
"بِشَكْل قَليل الأدَب","ar","-2"
"بِشَكْل قاسٍ","ar","-2"
"بِشَكْل كَريه","ar","-2"
"بِشَكْل كَييب","ar","-2"
"بِشَكْل كُوَيِّس","ar","2"
"بِشَكْل كافٍ","ar","1"
"بِشَكْل كييب","ar","-2"
"بِشَكْل لَطيف","ar","2"
"بِشَكْل لا يُطاق","ar","-2"
"بِشَكْل لا يُقاوَم","ar","2"
"بِشَكْل لادِع","ar","-1"
"بِشَكْل لاذِع","ar","-1"
"بِشَكْل لافِت للنَّظَر","ar","1"
"بِشَكْل لطيف","ar","1"
"بِشَكْل مَأسوي","ar","-3"
"بِشَكْل مَلْحوظ","ar","1"
"بِشَكْل مَنْطِقي","ar","2"
"بِشَكْل مَهيب","ar","2"
"بِشَكْل مُبَرَّر","ar","1"
"بِشَكْل مُبْدِع","ar","2"
"بِشَكْل مُبْهِر","ar","2"
"بِشَكْل مُتَظاهِر بالْوَرَع","ar","-2"
"بِشَكْل مُتَعَدِّد المَصادِر","ar","1"
"بِشَكْل مُتْرَف","ar","2"
"بِشَكْل مُثير لِلْغَضَب","ar","-2"
"بِشَكْل مُثير للأعْصاب","ar","-1"
"بِشَكْل مُثير للشَّفَقة","ar","-2"
"بِشَكْل مُجْهِد","ar","-2"
"بِشَكْل مُحْبِط","ar","-2"
"بِشَكْل مُحْرِج","ar","-2"
"بِشَكْل مُخَيِّب لِلْأمَل","ar","-2"
"بِشَكْل مُخْتَلِف يَبْعَث على الانْتِعاش","ar","2"
